c_site,state,year,age,race,sex,inci,pop
Brain and Other Nervous System,Florida,2013.0,35-44 years,White,female,37,888075.0
Brain and Other Nervous System,Florida,2013.0,45-54 years,White,female,87,1073555.0
Brain and Other Nervous System,Florida,2013.0,55-64 years,White,female,120,1073513.0
Brain and Other Nervous System,Florida,2013.0,65-74 years,White,female,138,918580.0
Brain and Other Nervous System,Florida,2013.0,75-84 years,White,female,95,565591.0
Brain and Other Nervous System,Florida,2013.0,85+ years,White,female,51,285516.0
Brain and Other Nervous System,Florida,2014.0,10-14 years,White,female,20,387162.0
Brain and Other Nervous System,Florida,2014.0,35-44 years,White,female,16,891153.0
Brain and Other Nervous System,Florida,2014.0,45-54 years,White,female,53,1074179.0
Brain and Other Nervous System,Florida,2014.0,55-64 years,White,female,113,1096759.0
Brain and Other Nervous System,Florida,2014.0,65-74 years,White,female,124,958129.0
Brain and Other Nervous System,Florida,2014.0,75-84 years,White,female,89,572704.0
Brain and Other Nervous System,Florida,2014.0,85+ years,White,female,40,297366.0
Brain and Other Nervous System,Florida,2014.0,< 5 years,White,female,16,349118.0
Brain and Other Nervous System,Florida,2015.0,25-29 years,White,female,18,461708.0
Brain and Other Nervous System,Florida,2015.0,35-44 years,White,female,46,891671.0
Brain and Other Nervous System,Florida,2015.0,45-54 years,White,female,68,1073444.0
Brain and Other Nervous System,Florida,2015.0,55-64 years,White,female,117,1125826.0
Brain and Other Nervous System,Florida,2015.0,65-74 years,White,female,135,1002937.0
Brain and Other Nervous System,Florida,2015.0,75-84 years,White,female,113,586017.0
Brain and Other Nervous System,Florida,2015.0,85+ years,White,female,53,303079.0
Brain and Other Nervous System,Florida,2016.0,30-34 years,White,female,18,453398.0
Brain and Other Nervous System,Florida,2016.0,35-44 years,White,female,22,892495.0
Brain and Other Nervous System,Florida,2016.0,45-54 years,White,female,62,1070313.0
Brain and Other Nervous System,Florida,2016.0,55-64 years,White,female,112,1151937.0
Brain and Other Nervous System,Florida,2016.0,65-74 years,White,female,157,1041070.0
Brain and Other Nervous System,Florida,2016.0,75-84 years,White,female,113,607770.0
Brain and Other Nervous System,Florida,2016.0,85+ years,White,female,41,304888.0
Brain and Other Nervous System,Georgia,2012.0,55-64 years,White,female,44,393963.0
Brain and Other Nervous System,Georgia,2012.0,65-74 years,White,female,44,269651.0
Brain and Other Nervous System,Georgia,2012.0,75-84 years,White,female,22,149160.0
Brain and Other Nervous System,Georgia,2013.0,45-54 years,White,female,42,434716.0
Brain and Other Nervous System,Georgia,2013.0,55-64 years,White,female,40,397886.0
Brain and Other Nervous System,Georgia,2013.0,65-74 years,White,female,56,284835.0
Brain and Other Nervous System,Georgia,2014.0,35-44 years,White,female,18,398668.0
Brain and Other Nervous System,Georgia,2014.0,55-64 years,White,female,18,404111.0
Brain and Other Nervous System,Georgia,2014.0,65-74 years,White,female,50,295290.0
Brain and Other Nervous System,Georgia,2015.0,45-54 years,White,female,17,429431.0
Brain and Other Nervous System,Georgia,2015.0,55-64 years,White,female,51,408964.0
Brain and Other Nervous System,Georgia,2015.0,65-74 years,White,female,51,310482.0
Brain and Other Nervous System,Georgia,2015.0,75-84 years,White,female,18,158450.0
Brain and Other Nervous System,Georgia,2016.0,45-54 years,White,female,19,427524.0
Brain and Other Nervous System,Georgia,2016.0,55-64 years,White,female,49,415390.0
Brain and Other Nervous System,Georgia,2016.0,65-74 years,White,female,52,318633.0
Brain and Other Nervous System,Georgia,2016.0,75-84 years,White,female,16,161215.0
Brain and Other Nervous System,Illinois,2012.0,35-44 years,White,female,19,594413.0
Brain and Other Nervous System,Illinois,2012.0,45-54 years,White,female,39,698345.0
Brain and Other Nervous System,Illinois,2012.0,55-64 years,White,female,75,623837.0
Brain and Other Nervous System,Illinois,2012.0,65-74 years,White,female,57,398462.0
Brain and Other Nervous System,Illinois,2012.0,75-84 years,White,female,43,256845.0
Brain and Other Nervous System,Illinois,2012.0,85+ years,White,female,30,145355.0
Brain and Other Nervous System,Illinois,2013.0,45-54 years,White,female,47,684721.0
Brain and Other Nervous System,Illinois,2013.0,55-64 years,White,female,69,636436.0
Brain and Other Nervous System,Illinois,2013.0,65-74 years,White,female,65,412460.0
Brain and Other Nervous System,Illinois,2013.0,75-84 years,White,female,46,252565.0
Brain and Other Nervous System,Illinois,2013.0,85+ years,White,female,24,149533.0
Brain and Other Nervous System,Illinois,2014.0,45-54 years,White,female,33,666754.0
Brain and Other Nervous System,Illinois,2014.0,5-9 years,White,female,17,264181.0
Brain and Other Nervous System,Illinois,2014.0,55-64 years,White,female,68,643879.0
Brain and Other Nervous System,Illinois,2014.0,65-74 years,White,female,74,426644.0
Brain and Other Nervous System,Illinois,2014.0,75-84 years,White,female,43,259885.0
Brain and Other Nervous System,Illinois,2014.0,85+ years,White,female,25,143239.0
Brain and Other Nervous System,Illinois,2015.0,30-34 years,White,female,17,306043.0
Brain and Other Nervous System,Illinois,2015.0,45-54 years,White,female,16,651006.0
Brain and Other Nervous System,Illinois,2015.0,55-64 years,White,female,71,650639.0
Brain and Other Nervous System,Illinois,2015.0,65-74 years,White,female,68,439785.0
Brain and Other Nervous System,Illinois,2015.0,75-84 years,White,female,49,254929.0
Brain and Other Nervous System,Illinois,2015.0,85+ years,White,female,18,144771.0
Brain and Other Nervous System,Illinois,2016.0,35-44 years,White,female,16,563105.0
Brain and Other Nervous System,Illinois,2016.0,45-54 years,White,female,24,633132.0
Brain and Other Nervous System,Illinois,2016.0,55-64 years,White,female,72,654521.0
Brain and Other Nervous System,Illinois,2016.0,65-74 years,White,female,68,452898.0
Brain and Other Nervous System,Illinois,2016.0,75-84 years,White,female,46,249355.0
Brain and Other Nervous System,Illinois,2016.0,85+ years,White,female,19,150443.0
Brain and Other Nervous System,Indiana,2012.0,65-74 years,White,female,39,239811.0
Brain and Other Nervous System,Indiana,2012.0,75-84 years,White,female,28,152921.0
Brain and Other Nervous System,Indiana,2013.0,45-54 years,White,female,19,393868.0
Brain and Other Nervous System,Indiana,2013.0,55-64 years,White,female,46,377871.0
Brain and Other Nervous System,Indiana,2013.0,65-74 years,White,female,33,250365.0
Brain and Other Nervous System,Indiana,2013.0,75-84 years,White,female,16,143537.0
Brain and Other Nervous System,Indiana,2014.0,55-64 years,White,female,19,384168.0
Brain and Other Nervous System,Indiana,2014.0,65-74 years,White,female,46,259378.0
Brain and Other Nervous System,Indiana,2014.0,75-84 years,White,female,34,146060.0
Brain and Other Nervous System,Indiana,2015.0,55-64 years,White,female,38,388285.0
Brain and Other Nervous System,Indiana,2015.0,65-74 years,White,female,28,268009.0
Brain and Other Nervous System,Indiana,2016.0,55-64 years,White,female,19,391801.0
Brain and Other Nervous System,Indiana,2016.0,65-74 years,White,female,48,277051.0
Brain and Other Nervous System,Kansas,2012.0,65-74 years,White,female,16,99793.0
Brain and Other Nervous System,Kentucky,2012.0,55-64 years,White,female,17,265651.0
Brain and Other Nervous System,Kentucky,2012.0,65-74 years,White,female,19,176365.0
Brain and Other Nervous System,Kentucky,2012.0,75-84 years,White,female,23,101176.0
Brain and Other Nervous System,Kentucky,2013.0,55-64 years,White,female,37,267558.0
Brain and Other Nervous System,Kentucky,2014.0,65-74 years,White,female,38,190638.0
Brain and Other Nervous System,Kentucky,2015.0,65-74 years,White,female,37,196093.0
Brain and Other Nervous System,Kentucky,2016.0,65-74 years,White,female,26,201828.0
Brain and Other Nervous System,Louisiana,2012.0,55-64 years,White,female,20,196439.0
Brain and Other Nervous System,Louisiana,2015.0,55-64 years,White,female,17,205008.0
Brain and Other Nervous System,Louisiana,2015.0,65-74 years,White,female,17,146612.0
Brain and Other Nervous System,Maryland,2012.0,55-64 years,White,female,18,245746.0
Brain and Other Nervous System,Maryland,2013.0,55-64 years,White,female,19,246487.0
Brain and Other Nervous System,Maryland,2013.0,65-74 years,White,female,16,164407.0
Brain and Other Nervous System,Maryland,2014.0,65-74 years,White,female,33,169838.0
Brain and Other Nervous System,Maryland,2016.0,55-64 years,White,female,17,255207.0
Brain and Other Nervous System,Maryland,2016.0,65-74 years,White,female,16,180857.0
Brain and Other Nervous System,Maryland,2016.0,75-84 years,White,female,16,96817.0
Brain and Other Nervous System,Massachusetts,2012.0,55-64 years,White,female,57,387150.0
Brain and Other Nervous System,Massachusetts,2012.0,65-74 years,White,female,34,243828.0
Brain and Other Nervous System,Massachusetts,2012.0,85+ years,White,female,17,103716.0
Brain and Other Nervous System,Massachusetts,2013.0,45-54 years,White,female,17,424633.0
Brain and Other Nervous System,Massachusetts,2013.0,55-64 years,White,female,41,390314.0
Brain and Other Nervous System,Massachusetts,2013.0,65-74 years,White,female,41,257180.0
Brain and Other Nervous System,Massachusetts,2013.0,75-84 years,White,female,16,157105.0
Brain and Other Nervous System,Massachusetts,2013.0,85+ years,White,female,20,99297.0
Brain and Other Nervous System,Massachusetts,2014.0,55-64 years,White,female,36,397488.0
Brain and Other Nervous System,Massachusetts,2014.0,65-74 years,White,female,37,268337.0
Brain and Other Nervous System,Massachusetts,2014.0,75-84 years,White,female,22,158914.0
Brain and Other Nervous System,Massachusetts,2014.0,85+ years,White,female,17,94959.0
Brain and Other Nervous System,Massachusetts,2015.0,45-54 years,White,female,17,411089.0
Brain and Other Nervous System,Massachusetts,2015.0,55-64 years,White,female,42,403667.0
Brain and Other Nervous System,Massachusetts,2015.0,65-74 years,White,female,53,279131.0
Brain and Other Nervous System,Massachusetts,2015.0,75-84 years,White,female,44,155200.0
Brain and Other Nervous System,Massachusetts,2015.0,85+ years,White,female,18,98265.0
Brain and Other Nervous System,Massachusetts,2016.0,45-54 years,White,female,17,400410.0
Brain and Other Nervous System,Massachusetts,2016.0,65-74 years,White,female,18,290575.0
Brain and Other Nervous System,Michigan,2012.0,45-54 years,White,female,23,603581.0
Brain and Other Nervous System,Michigan,2012.0,55-64 years,White,female,59,567101.0
Brain and Other Nervous System,Michigan,2012.0,65-74 years,White,female,55,359731.0
Brain and Other Nervous System,Michigan,2012.0,75-84 years,White,female,53,225395.0
Brain and Other Nervous System,Michigan,2013.0,45-54 years,White,female,19,586302.0
Brain and Other Nervous System,Michigan,2013.0,55-64 years,White,female,54,579298.0
Brain and Other Nervous System,Michigan,2013.0,65-74 years,White,female,53,376585.0
Brain and Other Nervous System,Michigan,2013.0,75-84 years,White,female,41,222922.0
Brain and Other Nervous System,Michigan,2013.0,85+ years,White,female,26,121880.0
Brain and Other Nervous System,Michigan,2014.0,45-54 years,White,female,16,574468.0
Brain and Other Nervous System,Michigan,2014.0,55-64 years,White,female,52,586631.0
Brain and Other Nervous System,Michigan,2014.0,65-74 years,White,female,56,392573.0
Brain and Other Nervous System,Michigan,2014.0,75-84 years,White,female,43,225963.0
Brain and Other Nervous System,Michigan,2014.0,85+ years,White,female,24,120406.0
Brain and Other Nervous System,Michigan,2015.0,45-54 years,White,female,36,562115.0
Brain and Other Nervous System,Michigan,2015.0,55-64 years,White,female,66,593097.0
Brain and Other Nervous System,Michigan,2015.0,65-74 years,White,female,67,405756.0
Brain and Other Nervous System,Michigan,2015.0,75-84 years,White,female,41,226561.0
Brain and Other Nervous System,Michigan,2015.0,85+ years,White,female,21,120241.0
Brain and Other Nervous System,Michigan,2016.0,45-54 years,White,female,16,546029.0
Brain and Other Nervous System,Michigan,2016.0,55-64 years,White,female,59,598018.0
Brain and Other Nervous System,Michigan,2016.0,65-74 years,White,female,65,419161.0
Brain and Other Nervous System,Michigan,2016.0,75-84 years,White,female,26,227433.0
Brain and Other Nervous System,Minnesota,2012.0,55-64 years,White,female,17,314815.0
Brain and Other Nervous System,Minnesota,2012.0,65-74 years,White,female,38,193652.0
Brain and Other Nervous System,Minnesota,2013.0,55-64 years,White,female,21,324260.0
Brain and Other Nervous System,Minnesota,2013.0,65-74 years,White,female,18,202196.0
Brain and Other Nervous System,Minnesota,2014.0,55-64 years,White,female,19,330912.0
Brain and Other Nervous System,Minnesota,2014.0,65-74 years,White,female,22,210948.0
Brain and Other Nervous System,Minnesota,2014.0,75-84 years,White,female,17,126346.0
Brain and Other Nervous System,Minnesota,2015.0,55-64 years,White,female,43,338398.0
Brain and Other Nervous System,Minnesota,2015.0,65-74 years,White,female,20,220029.0
Brain and Other Nervous System,Minnesota,2015.0,75-84 years,White,female,16,128510.0
Brain and Other Nervous System,Minnesota,2016.0,45-54 years,White,female,16,318549.0
Brain and Other Nervous System,Minnesota,2016.0,55-64 years,White,female,25,342715.0
Brain and Other Nervous System,Missouri,2012.0,55-64 years,White,female,43,341972.0
Brain and Other Nervous System,Missouri,2012.0,65-74 years,White,female,46,231375.0
Brain and Other Nervous System,Missouri,2012.0,75-84 years,White,female,17,145116.0
Brain and Other Nervous System,Missouri,2013.0,45-54 years,White,female,17,358226.0
Brain and Other Nervous System,Missouri,2013.0,55-64 years,White,female,25,348645.0
Brain and Other Nervous System,Missouri,2013.0,65-74 years,White,female,19,240804.0
Brain and Other Nervous System,Missouri,2014.0,55-64 years,White,female,44,352188.0
Brain and Other Nervous System,Missouri,2014.0,65-74 years,White,female,42,247106.0
Brain and Other Nervous System,Missouri,2015.0,45-54 years,White,female,16,342208.0
Brain and Other Nervous System,Missouri,2015.0,55-64 years,White,female,20,358557.0
Brain and Other Nervous System,Missouri,2015.0,65-74 years,White,female,45,255584.0
Brain and Other Nervous System,Missouri,2015.0,75-84 years,White,female,19,146636.0
Brain and Other Nervous System,Missouri,2016.0,55-64 years,White,female,41,363151.0
Brain and Other Nervous System,Missouri,2016.0,65-74 years,White,female,43,262341.0
Brain and Other Nervous System,Missouri,2016.0,75-84 years,White,female,19,151123.0
Brain and Other Nervous System,New Jersey,2012.0,55-64 years,White,female,37,435988.0
Brain and Other Nervous System,New Jersey,2012.0,65-74 years,White,female,44,285496.0
Brain and Other Nervous System,New Jersey,2012.0,75-84 years,White,female,45,192193.0
Brain and Other Nervous System,New Jersey,2012.0,85+ years,White,female,27,113219.0
Brain and Other Nervous System,New Jersey,2013.0,45-54 years,White,female,22,488674.0
Brain and Other Nervous System,New Jersey,2013.0,55-64 years,White,female,58,439062.0
Brain and Other Nervous System,New Jersey,2013.0,65-74 years,White,female,46,295937.0
Brain and Other Nervous System,New Jersey,2013.0,75-84 years,White,female,46,184838.0
Brain and Other Nervous System,New Jersey,2014.0,45-54 years,White,female,20,476271.0
Brain and Other Nervous System,New Jersey,2014.0,55-64 years,White,female,41,446745.0
Brain and Other Nervous System,New Jersey,2014.0,65-74 years,White,female,58,304980.0
Brain and Other Nervous System,New Jersey,2014.0,75-84 years,White,female,38,185606.0
Brain and Other Nervous System,New Jersey,2015.0,45-54 years,White,female,32,468648.0
Brain and Other Nervous System,New Jersey,2015.0,55-64 years,White,female,49,451241.0
Brain and Other Nervous System,New Jersey,2015.0,65-74 years,White,female,45,312506.0
Brain and Other Nervous System,New Jersey,2015.0,75-84 years,White,female,39,179970.0
Brain and Other Nervous System,New Jersey,2016.0,45-54 years,White,female,36,460254.0
Brain and Other Nervous System,New Jersey,2016.0,55-64 years,White,female,49,460151.0
Brain and Other Nervous System,New Jersey,2016.0,65-74 years,White,female,43,324307.0
Brain and Other Nervous System,New Jersey,2016.0,75-84 years,White,female,39,182644.0
Brain and Other Nervous System,New Jersey,2016.0,85+ years,White,female,17,115408.0
Brain and Other Nervous System,New York,2012.0,10-14 years,White,female,17,351060.0
Brain and Other Nervous System,New York,2012.0,30-34 years,White,female,21,403427.0
Brain and Other Nervous System,New York,2012.0,35-44 years,White,female,38,786989.0
Brain and Other Nervous System,New York,2012.0,45-54 years,White,female,70,965989.0
Brain and Other Nervous System,New York,2012.0,55-64 years,White,female,100,887844.0
Brain and Other Nervous System,New York,2012.0,65-74 years,White,female,102,598092.0
Brain and Other Nervous System,New York,2012.0,75-84 years,White,female,83,390243.0
Brain and Other Nervous System,New York,2012.0,85+ years,White,female,45,239100.0
Brain and Other Nervous System,New York,2012.0,< 5 years,White,female,16,328198.0
Brain and Other Nervous System,New York,2013.0,25-29 years,White,female,16,433148.0
Brain and Other Nervous System,New York,2013.0,35-44 years,White,female,20,769382.0
Brain and Other Nervous System,New York,2013.0,45-54 years,White,female,64,944681.0
Brain and Other Nervous System,New York,2013.0,55-64 years,White,female,89,900875.0
Brain and Other Nervous System,New York,2013.0,65-74 years,White,female,88,616074.0
Brain and Other Nervous System,New York,2013.0,75-84 years,White,female,85,390201.0
Brain and Other Nervous System,New York,2013.0,85+ years,White,female,36,237658.0
Brain and Other Nervous System,New York,2014.0,10-14 years,White,female,16,337946.0
Brain and Other Nervous System,New York,2014.0,20-24 years,White,female,18,411213.0
Brain and Other Nervous System,New York,2014.0,30-34 years,White,female,22,407093.0
Brain and Other Nervous System,New York,2014.0,35-44 years,White,female,20,757302.0
Brain and Other Nervous System,New York,2014.0,45-54 years,White,female,67,924017.0
Brain and Other Nervous System,New York,2014.0,5-9 years,White,female,24,324188.0
Brain and Other Nervous System,New York,2014.0,55-64 years,White,female,121,908766.0
Brain and Other Nervous System,New York,2014.0,65-74 years,White,female,106,633543.0
Brain and Other Nervous System,New York,2014.0,75-84 years,White,female,72,383943.0
Brain and Other Nervous System,New York,2014.0,85+ years,White,female,41,233637.0
Brain and Other Nervous System,New York,2014.0,< 5 years,White,female,18,321269.0
Brain and Other Nervous System,New York,2015.0,10-14 years,White,female,16,331622.0
Brain and Other Nervous System,New York,2015.0,30-34 years,White,female,21,413161.0
Brain and Other Nervous System,New York,2015.0,35-44 years,White,female,37,746952.0
Brain and Other Nervous System,New York,2015.0,45-54 years,White,female,73,905551.0
Brain and Other Nervous System,New York,2015.0,55-64 years,White,female,109,916667.0
Brain and Other Nervous System,New York,2015.0,65-74 years,White,female,114,655064.0
Brain and Other Nervous System,New York,2015.0,75-84 years,White,female,89,373503.0
Brain and Other Nervous System,New York,2015.0,85+ years,White,female,46,238547.0
Brain and Other Nervous System,New York,2015.0,< 5 years,White,female,16,318508.0
Brain and Other Nervous System,New York,2016.0,35-44 years,White,female,19,729327.0
Brain and Other Nervous System,New York,2016.0,45-54 years,White,female,61,881789.0
Brain and Other Nervous System,New York,2016.0,5-9 years,White,female,21,316315.0
Brain and Other Nervous System,New York,2016.0,55-64 years,White,female,102,915265.0
Brain and Other Nervous System,New York,2016.0,65-74 years,White,female,99,672631.0
Brain and Other Nervous System,New York,2016.0,75-84 years,White,female,71,379659.0
Brain and Other Nervous System,New York,2016.0,85+ years,White,female,50,235957.0
Brain and Other Nervous System,North Carolina,2012.0,45-54 years,White,female,16,503602.0
Brain and Other Nervous System,North Carolina,2012.0,55-64 years,White,female,55,469093.0
Brain and Other Nervous System,North Carolina,2012.0,65-74 years,White,female,52,335105.0
Brain and Other Nervous System,North Carolina,2012.0,75-84 years,White,female,38,193262.0
Brain and Other Nervous System,North Carolina,2012.0,85+ years,White,female,18,89262.0
Brain and Other Nervous System,North Carolina,2013.0,45-54 years,White,female,18,494940.0
Brain and Other Nervous System,North Carolina,2013.0,55-64 years,White,female,55,475317.0
Brain and Other Nervous System,North Carolina,2013.0,65-74 years,White,female,60,351340.0
Brain and Other Nervous System,North Carolina,2013.0,75-84 years,White,female,48,193682.0
Brain and Other Nervous System,North Carolina,2013.0,85+ years,White,female,17,94289.0
Brain and Other Nervous System,North Carolina,2014.0,55-64 years,White,female,27,479921.0
Brain and Other Nervous System,North Carolina,2014.0,65-74 years,White,female,54,367065.0
Brain and Other Nervous System,North Carolina,2014.0,75-84 years,White,female,43,201091.0
Brain and Other Nervous System,North Carolina,2014.0,85+ years,White,female,19,91985.0
Brain and Other Nervous System,North Carolina,2015.0,45-54 years,White,female,39,493481.0
Brain and Other Nervous System,North Carolina,2015.0,55-64 years,White,female,53,490462.0
Brain and Other Nervous System,North Carolina,2015.0,65-74 years,White,female,55,381406.0
Brain and Other Nervous System,North Carolina,2015.0,75-84 years,White,female,42,205230.0
Brain and Other Nervous System,North Carolina,2015.0,85+ years,White,female,23,93267.0
Brain and Other Nervous System,North Carolina,2016.0,55-64 years,White,female,53,501516.0
Brain and Other Nervous System,North Carolina,2016.0,65-74 years,White,female,61,393983.0
Brain and Other Nervous System,North Carolina,2016.0,75-84 years,White,female,39,215667.0
Brain and Other Nervous System,North Carolina,2016.0,85+ years,White,female,17,88343.0
Brain and Other Nervous System,Ohio,2012.0,45-54 years,White,female,24,722098.0
