Leading Cancer Sites,States,Year,Age Groups,Race,Gender,Count
Brain and Other Nervous System,Indiana,2016.0,55-64 years,White,female,19.0
Brain and Other Nervous System,Indiana,2016.0,65-74 years,White,female,48.0
Brain and Other Nervous System,Kansas,2012.0,65-74 years,White,female,16.0
Brain and Other Nervous System,Kentucky,2012.0,55-64 years,White,female,17.0
Brain and Other Nervous System,Kentucky,2012.0,65-74 years,White,female,19.0
Brain and Other Nervous System,Kentucky,2012.0,75-84 years,White,female,23.0
Brain and Other Nervous System,Kentucky,2013.0,55-64 years,White,female,37.0
Brain and Other Nervous System,Kentucky,2014.0,65-74 years,White,female,38.0
Brain and Other Nervous System,Kentucky,2015.0,65-74 years,White,female,37.0
Brain and Other Nervous System,Kentucky,2016.0,65-74 years,White,female,26.0
Brain and Other Nervous System,Louisiana,2012.0,55-64 years,White,female,20.0
Brain and Other Nervous System,Louisiana,2015.0,55-64 years,White,female,17.0
Brain and Other Nervous System,Louisiana,2015.0,65-74 years,White,female,17.0
Brain and Other Nervous System,Maryland,2012.0,55-64 years,White,female,18.0
Brain and Other Nervous System,Maryland,2013.0,55-64 years,White,female,19.0
Brain and Other Nervous System,Maryland,2013.0,65-74 years,White,female,16.0
Brain and Other Nervous System,Maryland,2014.0,65-74 years,White,female,33.0
Brain and Other Nervous System,Maryland,2016.0,55-64 years,White,female,17.0
Brain and Other Nervous System,Maryland,2016.0,65-74 years,White,female,16.0
Brain and Other Nervous System,Maryland,2016.0,75-84 years,White,female,16.0
Brain and Other Nervous System,Massachusetts,2012.0,55-64 years,White,female,57.0
Brain and Other Nervous System,Massachusetts,2012.0,65-74 years,White,female,34.0
Brain and Other Nervous System,Massachusetts,2012.0,85+ years,White,female,17.0
Brain and Other Nervous System,Massachusetts,2013.0,45-54 years,White,female,17.0
Brain and Other Nervous System,Massachusetts,2013.0,55-64 years,White,female,41.0
Brain and Other Nervous System,Massachusetts,2013.0,65-74 years,White,female,41.0
Brain and Other Nervous System,Massachusetts,2013.0,75-84 years,White,female,16.0
Brain and Other Nervous System,Massachusetts,2013.0,85+ years,White,female,20.0
Brain and Other Nervous System,Massachusetts,2014.0,55-64 years,White,female,36.0
Brain and Other Nervous System,Massachusetts,2014.0,65-74 years,White,female,37.0
Brain and Other Nervous System,Massachusetts,2014.0,75-84 years,White,female,22.0
Brain and Other Nervous System,Massachusetts,2014.0,85+ years,White,female,17.0
Brain and Other Nervous System,Massachusetts,2015.0,45-54 years,White,female,17.0
Brain and Other Nervous System,Massachusetts,2015.0,55-64 years,White,female,42.0
Brain and Other Nervous System,Massachusetts,2015.0,65-74 years,White,female,53.0
Brain and Other Nervous System,Massachusetts,2015.0,75-84 years,White,female,44.0
Brain and Other Nervous System,Massachusetts,2015.0,85+ years,White,female,18.0
Brain and Other Nervous System,Massachusetts,2016.0,45-54 years,White,female,17.0
Brain and Other Nervous System,Massachusetts,2016.0,65-74 years,White,female,18.0
Brain and Other Nervous System,Michigan,2012.0,45-54 years,White,female,23.0
Brain and Other Nervous System,Michigan,2012.0,55-64 years,White,female,59.0
Brain and Other Nervous System,Michigan,2012.0,65-74 years,White,female,55.0
Brain and Other Nervous System,Michigan,2012.0,75-84 years,White,female,53.0
Brain and Other Nervous System,Michigan,2013.0,45-54 years,White,female,19.0
Brain and Other Nervous System,Michigan,2013.0,55-64 years,White,female,54.0
Brain and Other Nervous System,Michigan,2013.0,65-74 years,White,female,53.0
Brain and Other Nervous System,Michigan,2013.0,75-84 years,White,female,41.0
Brain and Other Nervous System,Michigan,2013.0,85+ years,White,female,26.0
Brain and Other Nervous System,Michigan,2014.0,45-54 years,White,female,16.0
Brain and Other Nervous System,Michigan,2014.0,55-64 years,White,female,52.0
Brain and Other Nervous System,Michigan,2014.0,65-74 years,White,female,56.0
Brain and Other Nervous System,Michigan,2014.0,75-84 years,White,female,43.0
Brain and Other Nervous System,Michigan,2014.0,85+ years,White,female,24.0
Brain and Other Nervous System,Michigan,2015.0,45-54 years,White,female,36.0
Brain and Other Nervous System,Michigan,2015.0,55-64 years,White,female,66.0
Brain and Other Nervous System,Michigan,2015.0,65-74 years,White,female,67.0
Brain and Other Nervous System,Michigan,2015.0,75-84 years,White,female,41.0
Brain and Other Nervous System,Michigan,2015.0,85+ years,White,female,21.0
Brain and Other Nervous System,Michigan,2016.0,45-54 years,White,female,16.0
Brain and Other Nervous System,Michigan,2016.0,55-64 years,White,female,59.0
Brain and Other Nervous System,Michigan,2016.0,65-74 years,White,female,65.0
Brain and Other Nervous System,Michigan,2016.0,75-84 years,White,female,26.0
Brain and Other Nervous System,Minnesota,2012.0,55-64 years,White,female,17.0
Brain and Other Nervous System,Minnesota,2012.0,65-74 years,White,female,38.0
Brain and Other Nervous System,Minnesota,2013.0,55-64 years,White,female,21.0
Brain and Other Nervous System,Minnesota,2013.0,65-74 years,White,female,18.0
Brain and Other Nervous System,Minnesota,2014.0,55-64 years,White,female,19.0
Brain and Other Nervous System,Minnesota,2014.0,65-74 years,White,female,22.0
Brain and Other Nervous System,Minnesota,2014.0,75-84 years,White,female,17.0
Brain and Other Nervous System,Minnesota,2015.0,55-64 years,White,female,43.0
Brain and Other Nervous System,Minnesota,2015.0,65-74 years,White,female,20.0
Brain and Other Nervous System,Minnesota,2015.0,75-84 years,White,female,16.0
Brain and Other Nervous System,Minnesota,2016.0,45-54 years,White,female,16.0
Brain and Other Nervous System,Minnesota,2016.0,55-64 years,White,female,25.0
Brain and Other Nervous System,Missouri,2012.0,55-64 years,White,female,43.0
Brain and Other Nervous System,Missouri,2012.0,65-74 years,White,female,46.0
Brain and Other Nervous System,Missouri,2012.0,75-84 years,White,female,17.0
Brain and Other Nervous System,Missouri,2013.0,45-54 years,White,female,17.0
Brain and Other Nervous System,Missouri,2013.0,55-64 years,White,female,25.0
Brain and Other Nervous System,Missouri,2013.0,65-74 years,White,female,19.0
Brain and Other Nervous System,Missouri,2014.0,55-64 years,White,female,44.0
Brain and Other Nervous System,Missouri,2014.0,65-74 years,White,female,42.0
Brain and Other Nervous System,Missouri,2015.0,45-54 years,White,female,16.0
Brain and Other Nervous System,Missouri,2015.0,55-64 years,White,female,20.0
Brain and Other Nervous System,Missouri,2015.0,65-74 years,White,female,45.0
Brain and Other Nervous System,Missouri,2015.0,75-84 years,White,female,19.0
Brain and Other Nervous System,Missouri,2016.0,55-64 years,White,female,41.0
Brain and Other Nervous System,Missouri,2016.0,65-74 years,White,female,43.0
Brain and Other Nervous System,Missouri,2016.0,75-84 years,White,female,19.0
Brain and Other Nervous System,New Jersey,2012.0,55-64 years,White,female,37.0
Brain and Other Nervous System,New Jersey,2012.0,65-74 years,White,female,44.0
Brain and Other Nervous System,New Jersey,2012.0,75-84 years,White,female,45.0
Brain and Other Nervous System,New Jersey,2012.0,85+ years,White,female,27.0
Brain and Other Nervous System,New Jersey,2013.0,45-54 years,White,female,22.0
Brain and Other Nervous System,New Jersey,2013.0,55-64 years,White,female,58.0
Brain and Other Nervous System,New Jersey,2013.0,65-74 years,White,female,46.0
Brain and Other Nervous System,New Jersey,2013.0,75-84 years,White,female,46.0
Brain and Other Nervous System,New Jersey,2014.0,45-54 years,White,female,20.0
Brain and Other Nervous System,New Jersey,2014.0,55-64 years,White,female,41.0
Brain and Other Nervous System,New Jersey,2014.0,65-74 years,White,female,58.0
Brain and Other Nervous System,New Jersey,2014.0,75-84 years,White,female,38.0
Brain and Other Nervous System,New Jersey,2015.0,45-54 years,White,female,32.0
Brain and Other Nervous System,New Jersey,2015.0,55-64 years,White,female,49.0
Brain and Other Nervous System,New Jersey,2015.0,65-74 years,White,female,45.0
Brain and Other Nervous System,New Jersey,2015.0,75-84 years,White,female,39.0
Brain and Other Nervous System,New Jersey,2016.0,45-54 years,White,female,36.0
Brain and Other Nervous System,New Jersey,2016.0,55-64 years,White,female,49.0
Brain and Other Nervous System,New Jersey,2016.0,65-74 years,White,female,43.0
Brain and Other Nervous System,New Jersey,2016.0,75-84 years,White,female,39.0
Brain and Other Nervous System,New Jersey,2016.0,85+ years,White,female,17.0
Brain and Other Nervous System,New York,2012.0,10-14 years,White,female,17.0
Brain and Other Nervous System,New York,2012.0,30-34 years,White,female,21.0
Brain and Other Nervous System,New York,2012.0,35-44 years,White,female,38.0
Brain and Other Nervous System,New York,2012.0,45-54 years,White,female,70.0
Brain and Other Nervous System,New York,2012.0,55-64 years,White,female,100.0
Brain and Other Nervous System,New York,2012.0,65-74 years,White,female,102.0
Brain and Other Nervous System,New York,2012.0,75-84 years,White,female,83.0
Brain and Other Nervous System,New York,2012.0,85+ years,White,female,45.0
Brain and Other Nervous System,New York,2012.0,< 5 years,White,female,16.0
Brain and Other Nervous System,New York,2013.0,25-29 years,White,female,16.0
Brain and Other Nervous System,New York,2013.0,35-44 years,White,female,20.0
Brain and Other Nervous System,New York,2013.0,45-54 years,White,female,64.0
Brain and Other Nervous System,New York,2013.0,55-64 years,White,female,89.0
Brain and Other Nervous System,New York,2013.0,65-74 years,White,female,88.0
Brain and Other Nervous System,New York,2013.0,75-84 years,White,female,85.0
Brain and Other Nervous System,New York,2013.0,85+ years,White,female,36.0
Brain and Other Nervous System,New York,2014.0,10-14 years,White,female,16.0
Brain and Other Nervous System,New York,2014.0,20-24 years,White,female,18.0
Brain and Other Nervous System,New York,2014.0,30-34 years,White,female,22.0
Brain and Other Nervous System,New York,2014.0,35-44 years,White,female,20.0
Brain and Other Nervous System,New York,2014.0,45-54 years,White,female,67.0
Brain and Other Nervous System,New York,2014.0,5-9 years,White,female,24.0
Brain and Other Nervous System,New York,2014.0,55-64 years,White,female,121.0
Brain and Other Nervous System,New York,2014.0,65-74 years,White,female,106.0
Brain and Other Nervous System,New York,2014.0,75-84 years,White,female,72.0
Brain and Other Nervous System,New York,2014.0,85+ years,White,female,41.0
Brain and Other Nervous System,New York,2014.0,< 5 years,White,female,18.0
Brain and Other Nervous System,New York,2015.0,10-14 years,White,female,16.0
Brain and Other Nervous System,New York,2015.0,30-34 years,White,female,21.0
Brain and Other Nervous System,New York,2015.0,35-44 years,White,female,37.0
Brain and Other Nervous System,New York,2015.0,45-54 years,White,female,73.0
Brain and Other Nervous System,New York,2015.0,55-64 years,White,female,109.0
Brain and Other Nervous System,New York,2015.0,65-74 years,White,female,114.0
Brain and Other Nervous System,New York,2015.0,75-84 years,White,female,89.0
Brain and Other Nervous System,New York,2015.0,85+ years,White,female,46.0
Brain and Other Nervous System,New York,2015.0,< 5 years,White,female,16.0
Brain and Other Nervous System,New York,2016.0,35-44 years,White,female,19.0
Brain and Other Nervous System,New York,2016.0,45-54 years,White,female,61.0
Brain and Other Nervous System,New York,2016.0,5-9 years,White,female,21.0
Brain and Other Nervous System,New York,2016.0,55-64 years,White,female,102.0
Brain and Other Nervous System,New York,2016.0,65-74 years,White,female,99.0
Brain and Other Nervous System,New York,2016.0,75-84 years,White,female,71.0
Brain and Other Nervous System,New York,2016.0,85+ years,White,female,50.0
Brain and Other Nervous System,North Carolina,2012.0,45-54 years,White,female,16.0
Brain and Other Nervous System,North Carolina,2012.0,55-64 years,White,female,55.0
Brain and Other Nervous System,North Carolina,2012.0,65-74 years,White,female,52.0
Brain and Other Nervous System,North Carolina,2012.0,75-84 years,White,female,38.0
Brain and Other Nervous System,North Carolina,2012.0,85+ years,White,female,18.0
Brain and Other Nervous System,North Carolina,2013.0,45-54 years,White,female,18.0
Brain and Other Nervous System,North Carolina,2013.0,55-64 years,White,female,55.0
Brain and Other Nervous System,North Carolina,2013.0,65-74 years,White,female,60.0
Brain and Other Nervous System,North Carolina,2013.0,75-84 years,White,female,48.0
Brain and Other Nervous System,North Carolina,2013.0,85+ years,White,female,17.0
Brain and Other Nervous System,North Carolina,2014.0,55-64 years,White,female,27.0
Brain and Other Nervous System,North Carolina,2014.0,65-74 years,White,female,54.0
Brain and Other Nervous System,North Carolina,2014.0,75-84 years,White,female,43.0
Brain and Other Nervous System,North Carolina,2014.0,85+ years,White,female,19.0
Brain and Other Nervous System,North Carolina,2015.0,45-54 years,White,female,39.0
Brain and Other Nervous System,North Carolina,2015.0,55-64 years,White,female,53.0
Brain and Other Nervous System,North Carolina,2015.0,65-74 years,White,female,55.0
Brain and Other Nervous System,North Carolina,2015.0,75-84 years,White,female,42.0
Brain and Other Nervous System,North Carolina,2015.0,85+ years,White,female,23.0
Brain and Other Nervous System,North Carolina,2016.0,55-64 years,White,female,53.0
Brain and Other Nervous System,North Carolina,2016.0,65-74 years,White,female,61.0
Brain and Other Nervous System,North Carolina,2016.0,75-84 years,White,female,39.0
Brain and Other Nervous System,North Carolina,2016.0,85+ years,White,female,17.0
Brain and Other Nervous System,Ohio,2012.0,45-54 years,White,female,24.0
Brain and Other Nervous System,Ohio,2012.0,55-64 years,White,female,69.0
Brain and Other Nervous System,Ohio,2012.0,65-74 years,White,female,66.0
Brain and Other Nervous System,Ohio,2012.0,75-84 years,White,female,55.0
Brain and Other Nervous System,Ohio,2012.0,85+ years,White,female,23.0
Brain and Other Nervous System,Ohio,2013.0,10-14 years,White,female,18.0
Brain and Other Nervous System,Ohio,2013.0,45-54 years,White,female,50.0
Brain and Other Nervous System,Ohio,2013.0,55-64 years,White,female,80.0
Brain and Other Nervous System,Ohio,2013.0,65-74 years,White,female,72.0
Brain and Other Nervous System,Ohio,2013.0,75-84 years,White,female,55.0
Brain and Other Nervous System,Ohio,2013.0,85+ years,White,female,29.0
Brain and Other Nervous System,Ohio,2013.0,< 5 years,White,female,16.0
Brain and Other Nervous System,Ohio,2014.0,30-34 years,White,female,16.0
Brain and Other Nervous System,Ohio,2014.0,45-54 years,White,female,37.0
Brain and Other Nervous System,Ohio,2014.0,55-64 years,White,female,59.0
Brain and Other Nervous System,Ohio,2014.0,65-74 years,White,female,82.0
Brain and Other Nervous System,Ohio,2014.0,75-84 years,White,female,52.0
Brain and Other Nervous System,Ohio,2014.0,85+ years,White,female,22.0
Brain and Other Nervous System,Ohio,2015.0,45-54 years,White,female,26.0
Brain and Other Nervous System,Ohio,2015.0,55-64 years,White,female,73.0
Brain and Other Nervous System,Ohio,2015.0,65-74 years,White,female,91.0
Brain and Other Nervous System,Ohio,2015.0,75-84 years,White,female,30.0
Brain and Other Nervous System,Ohio,2015.0,85+ years,White,female,20.0
Brain and Other Nervous System,Ohio,2016.0,45-54 years,White,female,48.0
Brain and Other Nervous System,Ohio,2016.0,55-64 years,White,female,67.0
Brain and Other Nervous System,Ohio,2016.0,65-74 years,White,female,89.0
Brain and Other Nervous System,Ohio,2016.0,75-84 years,White,female,62.0
Brain and Other Nervous System,Ohio,2016.0,85+ years,White,female,24.0
Brain and Other Nervous System,Oklahoma,2015.0,65-74 years,White,female,22.0
Brain and Other Nervous System,Oklahoma,2016.0,65-74 years,White,female,16.0
Brain and Other Nervous System,Oregon,2012.0,55-64 years,White,female,21.0
