YEAR,STATE,RACE,SEX,AGE,POPULATION
2012,Alaska,Asian or Pacific Islander,female,85+ years,146.0
2012,Alaska,Asian or Pacific Islander,female,< 5 years,1605.0
2012,Alaska,Asian or Pacific Islander,male,10-14 years,2441.0
2012,Alaska,Asian or Pacific Islander,male,15-19 years,2702.0
2012,Alaska,Asian or Pacific Islander,male,20-24 years,2037.0
2012,Alaska,Asian or Pacific Islander,male,25-29 years,1560.0
2012,Alaska,Asian or Pacific Islander,male,30-34 years,1313.0
2012,Alaska,Asian or Pacific Islander,male,35-44 years,3758.0
2012,Alaska,Asian or Pacific Islander,male,45-54 years,2810.0
2012,Alaska,Asian or Pacific Islander,male,5-9 years,1241.0
2012,Alaska,Asian or Pacific Islander,male,55-64 years,2543.0
2012,Alaska,Asian or Pacific Islander,male,65-74 years,486.0
2012,Alaska,Asian or Pacific Islander,male,75-84 years,549.0
2012,Alaska,Asian or Pacific Islander,male,85+ years,542.0
2012,Alaska,Asian or Pacific Islander,male,< 5 years,1840.0
2012,Alaska,Black or African American,female,10-14 years,945.0
2012,Alaska,Black or African American,female,15-19 years,664.0
2012,Alaska,Black or African American,female,20-24 years,826.0
2012,Alaska,Black or African American,female,25-29 years,1079.0
2012,Alaska,Black or African American,female,30-34 years,1088.0
2012,Alaska,Black or African American,female,35-44 years,1530.0
2012,Alaska,Black or African American,female,45-54 years,1174.0
2012,Alaska,Black or African American,female,5-9 years,1112.0
2012,Alaska,Black or African American,female,55-64 years,1109.0
2012,Alaska,Black or African American,female,65-74 years,333.0
2012,Alaska,Black or African American,female,75-84 years,266.0
2012,Alaska,Black or African American,female,85+ years,29.0
2012,Alaska,Black or African American,female,< 5 years,851.0
2012,Alaska,Black or African American,male,10-14 years,769.0
2012,Alaska,Black or African American,male,15-19 years,829.0
2012,Alaska,Black or African American,male,20-24 years,2323.0
2012,Alaska,Black or African American,male,25-29 years,1439.0
2012,Alaska,Black or African American,male,30-34 years,1537.0
2012,Alaska,Black or African American,male,35-44 years,2372.0
2012,Alaska,Black or African American,male,45-54 years,1655.0
2012,Alaska,Black or African American,male,5-9 years,1149.0
2012,Alaska,Black or African American,male,55-64 years,1538.0
2012,Alaska,Black or African American,male,65-74 years,326.0
2012,Alaska,Black or African American,male,75-84 years,184.0
2012,Alaska,Black or African American,male,85+ years,0.0
2012,Alaska,Black or African American,male,< 5 years,1080.0
2012,Alaska,White,female,10-14 years,13500.0
2012,Alaska,White,female,15-19 years,13033.0
2012,Alaska,White,female,20-24 years,16665.0
2012,Alaska,White,female,25-29 years,18308.0
2012,Alaska,White,female,30-34 years,16250.0
2012,Alaska,White,female,35-44 years,30935.0
2012,Alaska,White,female,45-54 years,36050.0
2012,Alaska,White,female,5-9 years,14163.0
2012,Alaska,White,female,55-64 years,32827.0
2012,Alaska,White,female,65-74 years,14596.0
2012,Alaska,White,female,75-84 years,5962.0
2012,Alaska,White,female,85+ years,2862.0
2012,Alaska,White,female,< 5 years,14163.0
2012,Alaska,White,male,10-14 years,13771.0
2012,Alaska,White,male,15-19 years,16436.0
2012,Alaska,White,male,20-24 years,20822.0
2012,Alaska,White,male,25-29 years,20842.0
2012,Alaska,White,male,30-34 years,18846.0
2012,Alaska,White,male,35-44 years,33204.0
2012,Alaska,White,male,45-54 years,40608.0
2012,Alaska,White,male,5-9 years,15253.0
2012,Alaska,White,male,55-64 years,38268.0
2012,Alaska,White,male,65-74 years,16857.0
2012,Alaska,White,male,75-84 years,5847.0
2012,Alaska,White,male,85+ years,1142.0
2012,Alaska,White,male,< 5 years,15341.0
2012,Arizona,Asian or Pacific Islander,female,10-14 years,7422.0
2012,Arizona,Asian or Pacific Islander,female,15-19 years,5686.0
2012,Arizona,Asian or Pacific Islander,female,20-24 years,6273.0
2012,Arizona,Asian or Pacific Islander,female,25-29 years,9329.0
2012,Arizona,Asian or Pacific Islander,female,30-34 years,10863.0
2012,Arizona,Asian or Pacific Islander,female,35-44 years,20047.0
2012,Arizona,Asian or Pacific Islander,female,45-54 years,13941.0
2012,Arizona,Asian or Pacific Islander,female,5-9 years,5681.0
2012,Arizona,Asian or Pacific Islander,female,55-64 years,11788.0
2012,Arizona,Asian or Pacific Islander,female,65-74 years,7193.0
2012,Arizona,Asian or Pacific Islander,female,75-84 years,3421.0
2012,Arizona,Asian or Pacific Islander,female,85+ years,743.0
2012,Arizona,Asian or Pacific Islander,female,< 5 years,5616.0
2012,Arizona,Asian or Pacific Islander,male,10-14 years,6135.0
2012,Arizona,Asian or Pacific Islander,male,15-19 years,6418.0
2012,Arizona,Asian or Pacific Islander,male,20-24 years,7982.0
2012,Arizona,Asian or Pacific Islander,male,25-29 years,8791.0
2012,Arizona,Asian or Pacific Islander,male,30-34 years,9008.0
2012,Arizona,Asian or Pacific Islander,male,35-44 years,16651.0
2012,Arizona,Asian or Pacific Islander,male,45-54 years,11555.0
2012,Arizona,Asian or Pacific Islander,male,5-9 years,6968.0
2012,Arizona,Asian or Pacific Islander,male,55-64 years,7666.0
2012,Arizona,Asian or Pacific Islander,male,65-74 years,4409.0
2012,Arizona,Asian or Pacific Islander,male,75-84 years,1994.0
2012,Arizona,Asian or Pacific Islander,male,85+ years,678.0
2012,Arizona,Asian or Pacific Islander,male,< 5 years,6169.0
2012,Arizona,Black or African American,female,10-14 years,11327.0
2012,Arizona,Black or African American,female,15-19 years,12590.0
2012,Arizona,Black or African American,female,20-24 years,11241.0
2012,Arizona,Black or African American,female,25-29 years,10373.0
2012,Arizona,Black or African American,female,30-34 years,9458.0
2012,Arizona,Black or African American,female,35-44 years,18675.0
2012,Arizona,Black or African American,female,45-54 years,18002.0
2012,Arizona,Black or African American,female,5-9 years,9398.0
2012,Arizona,Black or African American,female,55-64 years,12072.0
2012,Arizona,Black or African American,female,65-74 years,7173.0
2012,Arizona,Black or African American,female,75-84 years,3130.0
2012,Arizona,Black or African American,female,85+ years,972.0
2012,Arizona,Black or African American,female,< 5 years,10940.0
2012,Arizona,Black or African American,male,10-14 years,12255.0
2012,Arizona,Black or African American,male,15-19 years,13142.0
2012,Arizona,Black or African American,male,20-24 years,15308.0
2012,Arizona,Black or African American,male,25-29 years,12311.0
2012,Arizona,Black or African American,male,30-34 years,11849.0
2012,Arizona,Black or African American,male,35-44 years,21694.0
2012,Arizona,Black or African American,male,45-54 years,19364.0
2012,Arizona,Black or African American,male,5-9 years,12564.0
2012,Arizona,Black or African American,male,55-64 years,13072.0
2012,Arizona,Black or African American,male,65-74 years,6068.0
2012,Arizona,Black or African American,male,75-84 years,2450.0
2012,Arizona,Black or African American,male,85+ years,221.0
2012,Arizona,Black or African American,male,< 5 years,10694.0
2012,Arizona,White,female,10-14 years,163125.0
2012,Arizona,White,female,15-19 years,158139.0
2012,Arizona,White,female,20-24 years,169220.0
2012,Arizona,White,female,25-29 years,160132.0
2012,Arizona,White,female,30-34 years,161344.0
2012,Arizona,White,female,35-44 years,316379.0
2012,Arizona,White,female,45-54 years,342412.0
2012,Arizona,White,female,5-9 years,160330.0
2012,Arizona,White,female,55-64 years,344796.0
2012,Arizona,White,female,65-74 years,262501.0
2012,Arizona,White,female,75-84 years,145895.0
2012,Arizona,White,female,85+ years,66342.0
2012,Arizona,White,female,< 5 years,152431.0
2012,Arizona,White,male,10-14 years,169464.0
2012,Arizona,White,male,15-19 years,167900.0
2012,Arizona,White,male,20-24 years,177991.0
2012,Arizona,White,male,25-29 years,170367.0
2012,Arizona,White,male,30-34 years,167928.0
2012,Arizona,White,male,35-44 years,321388.0
2012,Arizona,White,male,45-54 years,335392.0
2012,Arizona,White,male,5-9 years,170198.0
2012,Arizona,White,male,55-64 years,313486.0
2012,Arizona,White,male,65-74 years,240125.0
2012,Arizona,White,male,75-84 years,125879.0
2012,Arizona,White,male,85+ years,40623.0
2012,Arizona,White,male,< 5 years,160412.0
2012,Arkansas,Asian or Pacific Islander,female,10-14 years,940.0
2012,Arkansas,Asian or Pacific Islander,female,15-19 years,1395.0
2012,Arkansas,Asian or Pacific Islander,female,20-24 years,1222.0
2012,Arkansas,Asian or Pacific Islander,female,25-29 years,2474.0
2012,Arkansas,Asian or Pacific Islander,female,30-34 years,2129.0
2012,Arkansas,Asian or Pacific Islander,female,35-44 years,3620.0
2012,Arkansas,Asian or Pacific Islander,female,45-54 years,2341.0
2012,Arkansas,Asian or Pacific Islander,female,5-9 years,2248.0
2012,Arkansas,Asian or Pacific Islander,female,55-64 years,1941.0
2012,Arkansas,Asian or Pacific Islander,female,65-74 years,938.0
2012,Arkansas,Asian or Pacific Islander,female,75-84 years,350.0
2012,Arkansas,Asian or Pacific Islander,female,85+ years,0.0
2012,Arkansas,Asian or Pacific Islander,female,< 5 years,725.0
2012,Arkansas,Asian or Pacific Islander,male,10-14 years,1155.0
2012,Arkansas,Asian or Pacific Islander,male,15-19 years,1557.0
2012,Arkansas,Asian or Pacific Islander,male,20-24 years,1897.0
2012,Arkansas,Asian or Pacific Islander,male,25-29 years,1297.0
2012,Arkansas,Asian or Pacific Islander,male,30-34 years,1541.0
2012,Arkansas,Asian or Pacific Islander,male,35-44 years,3669.0
2012,Arkansas,Asian or Pacific Islander,male,45-54 years,1822.0
2012,Arkansas,Asian or Pacific Islander,male,5-9 years,1689.0
2012,Arkansas,Asian or Pacific Islander,male,55-64 years,1699.0
2012,Arkansas,Asian or Pacific Islander,male,65-74 years,747.0
2012,Arkansas,Asian or Pacific Islander,male,75-84 years,159.0
2012,Arkansas,Asian or Pacific Islander,male,85+ years,0.0
2012,Arkansas,Asian or Pacific Islander,male,< 5 years,1893.0
2012,Arkansas,Black or African American,female,10-14 years,17984.0
2012,Arkansas,Black or African American,female,15-19 years,19449.0
2012,Arkansas,Black or African American,female,20-24 years,18267.0
2012,Arkansas,Black or African American,female,25-29 years,19012.0
2012,Arkansas,Black or African American,female,30-34 years,17145.0
2012,Arkansas,Black or African American,female,35-44 years,30304.0
2012,Arkansas,Black or African American,female,45-54 years,31385.0
2012,Arkansas,Black or African American,female,5-9 years,18457.0
2012,Arkansas,Black or African American,female,55-64 years,27081.0
2012,Arkansas,Black or African American,female,65-74 years,12231.0
2012,Arkansas,Black or African American,female,75-84 years,6755.0
2012,Arkansas,Black or African American,female,85+ years,3982.0
2012,Arkansas,Black or African American,female,< 5 years,17553.0
2012,Arkansas,Black or African American,male,10-14 years,21975.0
2012,Arkansas,Black or African American,male,15-19 years,19857.0
2012,Arkansas,Black or African American,male,20-24 years,19097.0
2012,Arkansas,Black or African American,male,25-29 years,16480.0
2012,Arkansas,Black or African American,male,30-34 years,14309.0
2012,Arkansas,Black or African American,male,35-44 years,26138.0
2012,Arkansas,Black or African American,male,45-54 years,27620.0
2012,Arkansas,Black or African American,male,5-9 years,18699.0
2012,Arkansas,Black or African American,male,55-64 years,23666.0
2012,Arkansas,Black or African American,male,65-74 years,10467.0
2012,Arkansas,Black or African American,male,75-84 years,4164.0
2012,Arkansas,Black or African American,male,85+ years,1257.0
2012,Arkansas,Black or African American,male,< 5 years,18848.0
2012,Arkansas,White,female,10-14 years,69315.0
2012,Arkansas,White,female,15-19 years,69861.0
2012,Arkansas,White,female,20-24 years,75897.0
2012,Arkansas,White,female,25-29 years,71526.0
2012,Arkansas,White,female,30-34 years,70204.0
2012,Arkansas,White,female,35-44 years,143711.0
2012,Arkansas,White,female,45-54 years,160195.0
2012,Arkansas,White,female,5-9 years,71210.0
2012,Arkansas,White,female,55-64 years,156179.0
2012,Arkansas,White,female,65-74 years,117700.0
2012,Arkansas,White,female,75-84 years,69679.0
2012,Arkansas,White,female,85+ years,30612.0
2012,Arkansas,White,female,< 5 years,65941.0
2012,Arkansas,White,male,10-14 years,71419.0
2012,Arkansas,White,male,15-19 years,73677.0
2012,Arkansas,White,male,20-24 years,78126.0
2012,Arkansas,White,male,25-29 years,71976.0
2012,Arkansas,White,male,30-34 years,73112.0
2012,Arkansas,White,male,35-44 years,143960.0
2012,Arkansas,White,male,45-54 years,158309.0
2012,Arkansas,White,male,5-9 years,77186.0
2012,Arkansas,White,male,55-64 years,144964.0
2012,Arkansas,White,male,65-74 years,105379.0
2012,Arkansas,White,male,75-84 years,53926.0
2012,Arkansas,White,male,85+ years,14610.0
2012,Arkansas,White,male,< 5 years,69277.0
2012,California,Asian or Pacific Islander,female,10-14 years,145517.0
2012,California,Asian or Pacific Islander,female,15-19 years,156505.0
2012,California,Asian or Pacific Islander,female,20-24 years,186765.0
2012,California,Asian or Pacific Islander,female,25-29 years,202186.0
2012,California,Asian or Pacific Islander,female,30-34 years,214214.0
2012,California,Asian or Pacific Islander,female,35-44 years,455073.0
2012,California,Asian or Pacific Islander,female,45-54 years,411946.0
2012,California,Asian or Pacific Islander,female,5-9 years,140336.0
2012,California,Asian or Pacific Islander,female,55-64 years,353231.0
2012,California,Asian or Pacific Islander,female,65-74 years,202776.0
2012,California,Asian or Pacific Islander,female,75-84 years,119854.0
2012,California,Asian or Pacific Islander,female,85+ years,49903.0
2012,California,Asian or Pacific Islander,female,< 5 years,135869.0
2012,California,Asian or Pacific Islander,male,10-14 years,146290.0
2012,California,Asian or Pacific Islander,male,15-19 years,163703.0
2012,California,Asian or Pacific Islander,male,20-24 years,190863.0
2012,California,Asian or Pacific Islander,male,25-29 years,197325.0
2012,California,Asian or Pacific Islander,male,30-34 years,192050.0
2012,California,Asian or Pacific Islander,male,35-44 years,390066.0
2012,California,Asian or Pacific Islander,male,45-54 years,353688.0
2012,California,Asian or Pacific Islander,male,5-9 years,151216.0
2012,California,Asian or Pacific Islander,male,55-64 years,287585.0
2012,California,Asian or Pacific Islander,male,65-74 years,162396.0
2012,California,Asian or Pacific Islander,male,75-84 years,88669.0
2012,California,Asian or Pacific Islander,male,85+ years,26619.0
2012,California,Asian or Pacific Islander,male,< 5 years,142421.0
2012,California,Black or African American,female,10-14 years,70356.0
2012,California,Black or African American,female,15-19 years,85511.0
2012,California,Black or African American,female,20-24 years,93681.0
2012,California,Black or African American,female,25-29 years,79533.0
2012,California,Black or African American,female,30-34 years,77279.0
2012,California,Black or African American,female,35-44 years,149796.0
2012,California,Black or African American,female,45-54 years,171702.0
2012,California,Black or African American,female,5-9 years,71214.0
2012,California,Black or African American,female,55-64 years,137646.0
2012,California,Black or African American,female,65-74 years,77737.0
2012,California,Black or African American,female,75-84 years,42647.0
2012,California,Black or African American,female,85+ years,18543.0
2012,California,Black or African American,female,< 5 years,66856.0
2012,California,Black or African American,male,10-14 years,78880.0
2012,California,Black or African American,male,15-19 years,92162.0
2012,California,Black or African American,male,20-24 years,99810.0
2012,California,Black or African American,male,25-29 years,82591.0
2012,California,Black or African American,male,30-34 years,76670.0
2012,California,Black or African American,male,35-44 years,148494.0
2012,California,Black or African American,male,45-54 years,170201.0
2012,California,Black or African American,male,5-9 years,75965.0
2012,California,Black or African American,male,55-64 years,125432.0
2012,California,Black or African American,male,65-74 years,61585.0
2012,California,Black or African American,male,75-84 years,30936.0
2012,California,Black or African American,male,85+ years,7705.0
2012,California,Black or African American,male,< 5 years,70791.0
2012,California,White,female,10-14 years,718118.0
2012,California,White,female,15-19 years,765949.0
2012,California,White,female,20-24 years,803007.0
2012,California,White,female,25-29 years,786935.0
2012,California,White,female,30-34 years,771631.0
2012,California,White,female,35-44 years,1506266.0
2012,California,White,female,45-54 years,1669753.0
2012,California,White,female,5-9 years,722778.0
2012,California,White,female,55-64 years,1498666.0
2012,California,White,female,65-74 years,966541.0
2012,California,White,female,75-84 years,580302.0
2012,California,White,female,85+ years,331922.0
2012,California,White,female,< 5 years,694043.0
2012,California,White,male,10-14 years,762767.0
2012,California,White,male,15-19 years,809506.0
2012,California,White,male,20-24 years,889132.0
2012,California,White,male,25-29 years,858489.0
2012,California,White,male,30-34 years,823985.0
2012,California,White,male,35-44 years,1570879.0
2012,California,White,male,45-54 years,1691351.0
2012,California,White,male,5-9 years,741066.0
2012,California,White,male,55-64 years,1436584.0
2012,California,White,male,65-74 years,864417.0
2012,California,White,male,75-84 years,448304.0
2012,California,White,male,85+ years,182999.0
2012,California,White,male,< 5 years,733155.0
2012,Colorado,Asian or Pacific Islander,female,10-14 years,5863.0
2012,Colorado,Asian or Pacific Islander,female,15-19 years,4744.0
2012,Colorado,Asian or Pacific Islander,female,20-24 years,4262.0
2012,Colorado,Asian or Pacific Islander,female,25-29 years,7376.0
2012,Colorado,Asian or Pacific Islander,female,30-34 years,5882.0
2012,Colorado,Asian or Pacific Islander,female,35-44 years,13634.0
2012,Colorado,Asian or Pacific Islander,female,45-54 years,11692.0
2012,Colorado,Asian or Pacific Islander,female,5-9 years,4729.0
2012,Colorado,Asian or Pacific Islander,female,55-64 years,9070.0
2012,Colorado,Asian or Pacific Islander,female,65-74 years,4968.0
2012,Colorado,Asian or Pacific Islander,female,75-84 years,1965.0
2012,Colorado,Asian or Pacific Islander,female,85+ years,777.0
2012,Colorado,Asian or Pacific Islander,female,< 5 years,4688.0
2012,Colorado,Asian or Pacific Islander,male,10-14 years,3974.0
2012,Colorado,Asian or Pacific Islander,male,15-19 years,2950.0
2012,Colorado,Asian or Pacific Islander,male,20-24 years,6577.0
2012,Colorado,Asian or Pacific Islander,male,25-29 years,5474.0
2012,Colorado,Asian or Pacific Islander,male,30-34 years,7229.0
2012,Colorado,Asian or Pacific Islander,male,35-44 years,11760.0
2012,Colorado,Asian or Pacific Islander,male,45-54 years,8531.0
2012,Colorado,Asian or Pacific Islander,male,5-9 years,4888.0
2012,Colorado,Asian or Pacific Islander,male,55-64 years,5755.0
2012,Colorado,Asian or Pacific Islander,male,65-74 years,2863.0
2012,Colorado,Asian or Pacific Islander,male,75-84 years,1336.0
2012,Colorado,Asian or Pacific Islander,male,85+ years,574.0
2012,Colorado,Asian or Pacific Islander,male,< 5 years,5521.0
2012,Colorado,Black or African American,female,10-14 years,8246.0
2012,Colorado,Black or African American,female,15-19 years,8977.0
2012,Colorado,Black or African American,female,20-24 years,8599.0
2012,Colorado,Black or African American,female,25-29 years,7299.0
2012,Colorado,Black or African American,female,30-34 years,7449.0
2012,Colorado,Black or African American,female,35-44 years,12944.0
2012,Colorado,Black or African American,female,45-54 years,14158.0
2012,Colorado,Black or African American,female,5-9 years,7706.0
2012,Colorado,Black or African American,female,55-64 years,9874.0
2012,Colorado,Black or African American,female,65-74 years,5041.0
2012,Colorado,Black or African American,female,75-84 years,2287.0
2012,Colorado,Black or African American,female,85+ years,1321.0
2012,Colorado,Black or African American,female,< 5 years,7712.0
2012,Colorado,Black or African American,male,10-14 years,8677.0
2012,Colorado,Black or African American,male,15-19 years,7886.0
2012,Colorado,Black or African American,male,20-24 years,10745.0
2012,Colorado,Black or African American,male,25-29 years,8915.0
2012,Colorado,Black or African American,male,30-34 years,9521.0
2012,Colorado,Black or African American,male,35-44 years,16352.0
2012,Colorado,Black or African American,male,45-54 years,17071.0
2012,Colorado,Black or African American,male,5-9 years,11236.0
2012,Colorado,Black or African American,male,55-64 years,11099.0
2012,Colorado,Black or African American,male,65-74 years,4527.0
2012,Colorado,Black or African American,male,75-84 years,1975.0
2012,Colorado,Black or African American,male,85+ years,403.0
2012,Colorado,Black or African American,male,< 5 years,8272.0
2012,Colorado,White,female,10-14 years,134311.0
2012,Colorado,White,female,15-19 years,131387.0
2012,Colorado,White,female,20-24 years,143661.0
2012,Colorado,White,female,25-29 years,151699.0
2012,Colorado,White,female,30-34 years,151249.0
2012,Colorado,White,female,35-44 years,288586.0
2012,Colorado,White,female,45-54 years,316614.0
2012,Colorado,White,female,5-9 years,136711.0
2012,Colorado,White,female,55-64 years,294018.0
2012,Colorado,White,female,65-74 years,170163.0
2012,Colorado,White,female,75-84 years,94410.0
2012,Colorado,White,female,85+ years,45035.0
2012,Colorado,White,female,< 5 years,127843.0
2012,Colorado,White,male,10-14 years,136108.0
2012,Colorado,White,male,15-19 years,145965.0
2012,Colorado,White,male,20-24 years,150688.0
2012,Colorado,White,male,25-29 years,163148.0
2012,Colorado,White,male,30-34 years,163014.0
2012,Colorado,White,male,35-44 years,303412.0
2012,Colorado,White,male,45-54 years,310956.0
2012,Colorado,White,male,5-9 years,146502.0
2012,Colorado,White,male,55-64 years,282603.0
2012,Colorado,White,male,65-74 years,156711.0
2012,Colorado,White,male,75-84 years,72015.0
2012,Colorado,White,male,85+ years,23521.0
2012,Colorado,White,male,< 5 years,136343.0
2012,Connecticut,Asian or Pacific Islander,female,10-14 years,5351.0
2012,Connecticut,Asian or Pacific Islander,female,15-19 years,5110.0
2012,Connecticut,Asian or Pacific Islander,female,20-24 years,5045.0
2012,Connecticut,Asian or Pacific Islander,female,25-29 years,6925.0
2012,Connecticut,Asian or Pacific Islander,female,30-34 years,8002.0
2012,Connecticut,Asian or Pacific Islander,female,35-44 years,14955.0
2012,Connecticut,Asian or Pacific Islander,female,45-54 years,9582.0
2012,Connecticut,Asian or Pacific Islander,female,5-9 years,4969.0
2012,Connecticut,Asian or Pacific Islander,female,55-64 years,7039.0
2012,Connecticut,Asian or Pacific Islander,female,65-74 years,3145.0
2012,Connecticut,Asian or Pacific Islander,female,75-84 years,1684.0
2012,Connecticut,Asian or Pacific Islander,female,85+ years,295.0
2012,Connecticut,Asian or Pacific Islander,female,< 5 years,5134.0
2012,Connecticut,Asian or Pacific Islander,male,10-14 years,4676.0
2012,Connecticut,Asian or Pacific Islander,male,15-19 years,3449.0
2012,Connecticut,Asian or Pacific Islander,male,20-24 years,6202.0
2012,Connecticut,Asian or Pacific Islander,male,25-29 years,5838.0
2012,Connecticut,Asian or Pacific Islander,male,30-34 years,6291.0
2012,Connecticut,Asian or Pacific Islander,male,35-44 years,12644.0
2012,Connecticut,Asian or Pacific Islander,male,45-54 years,9554.0
2012,Connecticut,Asian or Pacific Islander,male,5-9 years,5648.0
2012,Connecticut,Asian or Pacific Islander,male,55-64 years,6316.0
2012,Connecticut,Asian or Pacific Islander,male,65-74 years,2825.0
2012,Connecticut,Asian or Pacific Islander,male,75-84 years,1224.0
2012,Connecticut,Asian or Pacific Islander,male,85+ years,48.0
2012,Connecticut,Asian or Pacific Islander,male,< 5 years,5879.0
2012,Connecticut,Black or African American,female,10-14 years,13961.0
2012,Connecticut,Black or African American,female,15-19 years,15684.0
2012,Connecticut,Black or African American,female,20-24 years,15956.0
2012,Connecticut,Black or African American,female,25-29 years,12169.0
2012,Connecticut,Black or African American,female,30-34 years,14013.0
2012,Connecticut,Black or African American,female,35-44 years,26784.0
2012,Connecticut,Black or African American,female,45-54 years,27594.0
2012,Connecticut,Black or African American,female,5-9 years,12386.0
2012,Connecticut,Black or African American,female,55-64 years,20399.0
2012,Connecticut,Black or African American,female,65-74 years,11873.0
2012,Connecticut,Black or African American,female,75-84 years,5656.0
2012,Connecticut,Black or African American,female,85+ years,2913.0
